mids,density
-0.315,0.0137155397064874
-0.305,0
-0.295,0
-0.285,0
-0.275,0
-0.265,0
-0.255,0
-0.245,0.0137155397064874
-0.235,0
-0.225,0
-0.215,0
-0.205,0
-0.195,0.0137155397064874
-0.185,0
-0.175,0.0137155397064875
-0.165,0.0137155397064874
-0.155,0
-0.145,0
-0.135,0.0137155397064874
-0.125,0.0274310794129749
-0.115,0.0685776985324374
-0.105,0.0137155397064874
-0.095,0.0822932382389246
-0.085,0.246879714716775
-0.075,0.205733095597312
-0.065,0.603483747085447
-0.055,0.973803319160608
-0.045,1.78302016184337
-0.035,3.14085859278564
-0.025,5.66451789877931
-0.015,9.51172678644904
-0.005,16.9935536963379
0.005,15.2653956933205
0.015,10.2660814703058
0.025,7.61212453710053
0.035,5.23933616787823
0.045,4.3135372376903
0.055,2.77739679056371
0.065,2.2904951309834
0.075,1.49499382800713
0.085,1.54985598683308
0.095,1.15210533534495
0.105,1.11095871622548
0.115,0.740639144150322
0.125,0.768070223563296
0.135,0.713208064737347
0.145,0.596625977232204
0.155,0.486901659580307
0.165,0.521190508846523
0.175,0.411466191194623
0.185,0.329172952955698
0.195,0.192017555890824
0.205,0.260595254423261
0.215,0.205733095597312
0.225,0.329172952955698
0.235,0.178302016184337
0.245,0.178302016184337
0.255,0.123439857358388
0.265,0.164586476477849
0.275,0.0685776985324372
0.285,0.0960087779454121
0.295,0.0548621588259497
0.305,0.109724317651899
0.315,0.0685776985324372
0.325,0.150870936771362
0.335,0.0411466191194623
0.345,0.0548621588259497
0.355,0.0548621588259497
0.365,0.0137155397064874
0.375,0
0.385,0.0411466191194628
0.395,0.0411466191194623
0.405,0.0411466191194623
0.415,0.0137155397064874
0.425,0.0411466191194623
0.435,0.0137155397064874
0.445,0.0274310794129749
0.455,0
0.465,0.0137155397064874
0.475,0.0274310794129749
0.485,0.0274310794129749
0.495,0
0.505,0.0685776985324372
0.515,0.0274310794129749
0.525,0.0411466191194623
0.535,0.0137155397064874
0.545,0
0.555,0
0.565,0
0.575,0.0137155397064874
0.585,0.0137155397064874
0.595,0.0137155397064874
0.605,0
0.615,0
0.625,0.0137155397064874
0.635,0.0137155397064877
0.645,0
0.655,0.0137155397064874
0.665,0.0137155397064874
0.675,0.0137155397064874
0.685,0.0274310794129749
0.695,0
0.705,0.0274310794129749
0.715,0
0.725,0
0.735,0
0.745,0
0.755,0.0137155397064874
