V1,V2,V3,V4,V5
0.066602415596054,9.05683160880695e-07,8.81789320520896e-07,0.746948095306895,0.18644770162457
2.95929623124276e-05,2.2518945044589e-06,2.38756079342691e-06,0.833289206373907,0.166676561208483
0.0302405453969125,5.19054239180686e-06,4.05576231529006e-06,0.825902781359469,0.143847426938911
0.110003515823295,9.19955188898654e-07,9.65087525990603e-07,0.680361580467331,0.209633018666662
0.0223972805157353,8.83059081514926e-07,8.40363395206905e-07,0.824816670958551,0.152784325103237
0.149723443367412,2.51263770627542e-06,2.75360975705758e-06,0.616193813679052,0.234077476706002
0.100472220212397,7.90975157004788e-07,7.58708574350737e-07,0.715213356702981,0.18431287340089
0.0482425774395999,9.63082444243903e-07,1.03372135892093e-06,0.792716399058915,0.159039026697682
0.070585620684076,7.91618277219877e-07,6.30789607805892e-07,0.790883383458453,0.138529573449586
0.00695045022911758,8.59386542683042e-07,8.67123818545725e-07,0.847967523040898,0.145080300219624
0.0776736208265087,3.28661459952691e-06,3.8793317141563e-06,0.714357133733044,0.207962079494133
0.0544596854832557,6.01423909835925e-07,6.73248099190993e-07,0.830130546114692,0.115408493730043
0.117964281307218,8.17067178163631e-07,8.1715834112037e-07,0.679604355599547,0.202429728867715
0.0644209109810525,6.78515132203592e-07,9.29148511341593e-07,0.777596340214751,0.157981141140524
0.08242573434012,8.91785906431788e-07,7.68595529932713e-07,0.750977821855316,0.166594783423127
0.104939413762374,7.17242720217475e-07,6.74434366575907e-07,0.723116752070035,0.171942442490509
0.0545098955088159,7.68128337030557e-07,8.16680622037803e-07,0.786589895379235,0.15889862430294
0.129295386252706,8.64141195916887e-07,8.29760246345441e-07,0.685996481455963,0.184706438389889
0.0876376624949306,1.74256605478056e-06,1.41068329070199e-06,0.73409410900832,0.178265075247404
4.14489781044692e-06,6.72576430690746e-07,8.23395751657027e-07,0.854138105565654,0.145856253564354
0.0488661891477564,7.72593666042411e-07,8.10818354684151e-07,0.785571636331739,0.165560591108484
2.55045455219319e-05,7.4371926925107e-07,8.37588021541971e-07,0.83495972883676,0.165013185310427
9.40992157031955e-05,9.60040735025039e-07,1.05331484231007e-06,0.845796410825368,0.154107476603559
0.102544451993982,3.17613422922222e-06,3.63292734579035e-06,0.705690312140174,0.191758426804269
0.0339056092195352,9.25944542851928e-07,1.13745211528037e-06,0.78580461269879,0.18028771468502
1.70949702523782e-05,2.10881784730489e-06,2.24504802401442e-06,0.848372762624485,0.151605788539391
0.136951352322711,2.81466475132799e-06,2.44431558318434e-06,0.650713776456679,0.212329612240276
0.10882413892489,4.38232456208563e-07,8.82082525773056e-07,0.716110670857104,0.175063869903024
0.100566372584972,6.21462004995607e-07,6.76913637161457e-07,0.735299385693602,0.164132943345783
0.00155963138605624,7.30810493765713e-07,7.77644305590666e-07,0.880193727898471,0.118245132260674
